id,review,functionality,range_anxiety,availability,cost,ui,location,service_time,dealership
293640,Reliable....but under a eucalyptus tree that sheds profusely.....,0,0,0,0,0,1,0,0
204486,"Quick charge. It working, but lvl 2 dorks fine. ",1,0,0,0,0,0,0,0
309239,So the dealer had all of their cars being serviced parked in every spot including the quick charger. I called and asked them for at least access to the quick charger and they agreed but never did anything so I left and drove to Larry h nissan. I was willing to pay because I was in a hurry and obviously the Toyota dealer doesn't want my business.,0,0,1,0,0,0,0,1
69923,No charging stations but 220 & 110 outlets and really friendly people.,0,0,1,0,0,1,1,0
186093,"Was only there @ 9PM Jan 04, 2015. Works flawlessly",1,0,0,0,0,0,0,0
295817,"Works great. One Tesla slot was ICE'd by employee car (Saw him come out of the side door and get something), however level 2 Creek charger spot was open.",1,0,1,0,0,0,0,0
147226,nice...and free. ,0,0,0,1,0,0,0,0
59700,removed quick charger,1,0,1,0,0,0,0,0
269229,Confirmed not working since 7-8am. Not sure when it will be back up.,1,0,0,0,0,0,0,0
171300,QC working great.,1,0,0,0,0,0,0,0
251766,awesome!,0,0,0,0,0,0,0,0
239654,How do you get a liberty hydra account? Is that the only way to pay? I just bought a Chevy spark and have no clue how this works.,0,0,0,0,1,0,0,0
42597,"For instant access, either dial 1-800-663-5633 anytime <OR> visit www.semacharge.com on your smartphone.  Once completed, ask for a smart-card, too. ",1,0,0,0,1,0,0,0
65782,Very friendly.,0,0,0,0,0,1,0,0
288803,"my husband's car ---I was totally confused-- the salesman, Omar saved my day, hooked  me up,  got me popcorn and invited me into the air conditioned comfort of their showroom -- awesome!!!",0,0,0,0,0,1,0,0
49143,"Great place to charge.  Nice place, clean with available snacks.  Met three others while charging.  We all had a great time.",0,0,0,0,1,1,0,0
143186,4 electric vehicles in all accessible spots not charging,0,0,1,0,0,0,0,0
103540,"5/7/2014 got there at 4:30pm, Quick Charge broke.  Level-2 charge broke.

Went inside to service department, they can't do anything to help me.  They say they don't maintain the device, the tech that maintains it, aren't there.

I purchase a brand new Nissan from them just days ago and although the sales was great, very helpful, very patience, great price but the Service Department could use some improvement.",1,0,0,0,0,0,0,1
171742,very friendly and moved dealer vehicle for me,0,0,0,0,0,1,0,1
246401,Property owner gave me a tour of his soup factory while I charged. Very nice fellow. Seemed interested in EVs.,0,0,0,0,0,1,0,0
